seller,kind,name,species,quality,thickness,width,length,price,area_m2,price_per_m2
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,18,1220,2500,1964.0,3.05,643.93445
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,18,300,1200,238.0,0.36,661.1111
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,18,300,2000,396.0,0.6,660.0
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,18,300,2400,475.0,0.72,659.72217
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,18,400,1200,318.0,0.48,662.5
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,18,400,2000,528.0,0.8,660.0
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,18,400,2400,633.0,0.96,659.375
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,18,400,800,212.0,0.32,662.5
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,28,300,1200,370.0,0.36,1027.7777
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,28,300,2000,615.0,0.6,1025.0
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,28,300,2400,737.0,0.72,1023.6111
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,28,300,800,246.0,0.24000001,1025.0
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,28,400,1200,492.0,0.48,1025.0
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,28,400,800,328.0,0.32,1025.0
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,40,300,1200,528.0,0.36,1466.6666
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,40,300,2000,880.0,0.6,1466.6666
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,40,300,2400,1056.0,0.72,1466.6666
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,40,300,800,353.0,0.24000001,1470.8333
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,40,400,1200,704.0,0.48,1466.6667
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,40,400,2000,1173.0,0.8,1466.25
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,40,400,2400,1409.0,0.96,1467.7084
p-ronic.cz,Board,Spárovka - BOR,Pine,A/B,40,400,800,470.0,0.32,1468.75
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,3000,4141.0,1.9499999,2123.5898
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2900,4003.0,1.8849999,2123.6077
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2800,3865.0,1.8199999,2123.6265
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2700,3727.0,1.7549999,2123.647
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2600,3589.0,1.6899998,2123.669
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2500,3422.0,1.625,2105.8462
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2400,3284.0,1.56,2105.1282
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2300,3148.0,1.495,2105.6855
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2200,3011.0,1.43,2105.5945
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2100,2874.0,1.365,2105.4944
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,20,650,2000,2319.0,1.3,1783.8462
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,40,650,900,2331.0,0.585,3984.6155
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,40,650,1500,3885.0,0.97499996,3984.6155
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,40,650,1400,3626.0,0.90999997,3984.6155
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,40,650,1300,3367.0,0.8449999,3984.6157
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,40,650,1200,3108.0,0.78,3984.6155
p-ronic.cz,Board,Spárovka - DUB,Oak,Rustik,40,650,1000,2590.0,0.65,3984.6155
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,820,1700,7138.0,1.394,5120.516
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,820,1600,6884.0,1.312,5246.951
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,820,1500,6595.0,1.23,5361.7886
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,820,1400,6401.0,1.148,5575.784
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,725,2500,10999.0,1.8125,6068.4136
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,900,3163.0,0.594,5324.916
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,3000,13047.0,1.9800001,6589.3936
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2900,12284.0,1.9140002,6417.972
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2800,11885.0,1.8480002,6431.2764
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2700,11448.0,1.7820001,6424.242
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2600,11030.0,1.7160001,6427.739
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2500,10612.0,1.6500001,6431.5146
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2400,10194.0,1.5840001,6435.6055
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2300,9749.0,1.518,6422.266
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2200,9305.0,1.452,6408.4023
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2100,8984.0,1.386,6481.9624
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,2000,8495.0,1.32,6435.606
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,1900,7280.0,1.254,5805.423
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,1800,6948.0,1.188,5848.485
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,1700,6508.0,1.122,5800.3564
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,1600,6129.0,1.056,5803.9775
p-ronic.cz,Board,Spárovka - DUB,Oak,A/B,40,660,1500,5750.0,0.99000007,5808.0806
